name,point,bobkrr_energy
C6H6-C,1,-232.25916051864624
C6H6-C,2,-232.28139877319336
C6H6-C,3,-232.263925075531
C6H6-C,4,-232.22315788269043
C6H6-C,5,-232.16859340667725
C6H6-C,6,-232.10702753067017
C6H6-C,7,-232.04194736480713
C6H6-C,8,-231.97595024108887
C6H6-C,9,-231.90973091125488
C6H6-C,10,-231.8450231552124
C6H6-C,11,-231.78290176391602
C6H6-C,12,-231.7226104736328
C6H6-C,13,-231.66360521316528
C6H6-C,14,-231.6079330444336
C6H6-C,15,-231.5550298690796
C6H6-C,16,-231.50465488433838
C6H6-C,17,-231.45595264434814
C6H6-C,18,-231.40944862365723
C6H6-C,19,-231.36481952667236
C6H6-C,20,-231.32267141342163
C6H6-C,21,-231.28268671035767
C6H6-C,22,-231.2440323829651
C6H6-C,23,-231.207190990448
C6H6-C,24,-231.17183303833008
C6H6-C,25,-231.13789176940918
C6H6-C,26,-231.10558128356934
C6H6-C,27,-231.07502508163452
C6H6-C,28,-231.04495525360107
C6H6-C,29,-231.01604318618774
C6H6-C,30,-230.98875093460083
C6H6-C,31,-230.96315383911133
C6H6-C,32,-230.93733978271484
C6H6-C,33,-230.91326808929443
C6H6-C,34,-230.8895697593689
C6H6-C,35,-230.86765480041504
C6H6-C,36,-230.84612131118774
C6H6-C,37,-230.8246898651123
C6H6-C,38,-230.80473136901855
C6H6-C,39,-230.78503608703613
C6H6-C,40,-230.76637935638428
C6H6-C,41,-230.74828720092773
C6H6-C,42,-230.73034524917603
C6H6-C,43,-230.71372032165527
C6H6-C,44,-230.69715881347656
C6H6-C,45,-230.68119525909424
C6H6-H,1,-232.0365629196167
C6H6-H,2,-232.09713649749756
C6H6-H,3,-232.13432502746582
C6H6-H,4,-232.15619039535522
C6H6-H,5,-232.16859340667725
C6H6-H,6,-232.1747326850891
C6H6-H,7,-232.17657804489136
C6H6-H,8,-232.17576503753662
C6H6-H,9,-232.1725935935974
C6H6-H,10,-232.16813611984253
C6H6-H,11,-232.1632285118103
C6H6-H,12,-232.15721797943115
C6H6-H,13,-232.15097045898438
C6H6-H,14,-232.1447696685791
C6H6-H,15,-232.13801097869873
C6H6-H,16,-232.13150310516357
C6H6-H,17,-232.12514209747314
C6H6-H,18,-232.1186695098877
C6H6-H,19,-232.11243534088135
C6H6-H,20,-232.1062068939209
C6H6-H,21,-232.1002721786499
C6H6-H,22,-232.09444761276245
C6H6-H,23,-232.08879280090332
C6H6-H,24,-232.08328771591187
C6H6-H,25,-232.07799530029297
C6H6-H,26,-232.0727767944336
C6H6-H,27,-232.06794118881226
C6H6-H,28,-232.0630226135254
C6H6-H,29,-232.05848026275635
C6H6-H,30,-232.05390310287476
C6H6-H,31,-232.04937648773193
C6H6-H,32,-232.04518508911133
C6H6-H,33,-232.04111576080322
C6H6-H,34,-232.03714418411255
C6H6-H,35,-232.0331621170044
C6H6-H,36,-232.02943801879883
C6H6-H,37,-232.02587795257568
