name,phi,psi,theta,mmff_energy
ala-ala,-100,-100,,52.06096787510346
ala-ala,-100,-120,,53.046763156165014
ala-ala,-100,-140,,105.85736699740015
ala-ala,-100,-160,,51.70703653838321
ala-ala,-100,-180,,64.61564977279541
ala-ala,-100,-20,,133.97603251757215
ala-ala,-100,-40,,52.25891544018691
ala-ala,-100,-60,,53.83982180312097
ala-ala,-100,-80,,80.47259973749425
ala-ala,-100,0,,45.285957812209794
ala-ala,-100,100,,48.764993924790716
ala-ala,-100,120,,53.63875080623683
ala-ala,-100,140,,79.2897459064821
ala-ala,-100,160,,53.024089536965455
ala-ala,-100,180,,53.81648161091985
ala-ala,-100,20,,68.77016769469532
ala-ala,-100,40,,61.8689663447812
ala-ala,-100,60,,51.88738483238617
ala-ala,-100,80,,154.25521434261427
ala-ala,-120,-100,,45.57936794326747
ala-ala,-120,-120,,290.2001914625643
ala-ala,-120,-140,,44.42515544102605
ala-ala,-120,-160,,67.63557057153325
ala-ala,-120,-180,,74.66774088124939
ala-ala,-120,-20,,71.7578803709813
ala-ala,-120,-40,,51.000379773611826
ala-ala,-120,-60,,87.32168592668485
ala-ala,-120,-80,,53.417026166954415
ala-ala,-120,0,,61.01680208298573
ala-ala,-120,100,,360.4016566716227
ala-ala,-120,120,,45.31703469928239
ala-ala,-120,140,,55.85493309382235
ala-ala,-120,160,,84.36921136420719
ala-ala,-120,180,,49.13908309373002
ala-ala,-120,20,,46.3540584001413
ala-ala,-120,40,,79.08449510705384
ala-ala,-120,60,,65.15290124080725
ala-ala,-120,80,,44.69383413795649
ala-ala,-140,-100,,33.05158646759671
ala-ala,-140,-120,,29.01090718277648
ala-ala,-140,-140,,37.550193637510006
ala-ala,-140,-160,,48.62924322809016
ala-ala,-140,-180,,38.975673592254324
ala-ala,-140,-20,,30.15010855914698
ala-ala,-140,-40,,43.88735811873231
ala-ala,-140,-60,,46.41512819637954
ala-ala,-140,-80,,36.151732837958924
ala-ala,-140,0,,30.57973168100902
ala-ala,-140,100,,29.27322590488819
ala-ala,-140,120,,33.49081363254162
ala-ala,-140,140,,36.421697723357056
ala-ala,-140,160,,46.83786075308688
ala-ala,-140,180,,42.65358622166893
ala-ala,-140,20,,35.180281946050705
ala-ala,-140,40,,39.92198077674404
ala-ala,-140,60,,48.92287179628821
ala-ala,-140,80,,36.52722461861567
ala-ala,-160,-100,,37.16499567028892
ala-ala,-160,-120,,35.42108821959479
ala-ala,-160,-140,,37.99991461661813
ala-ala,-160,-160,,45.76446672066905
ala-ala,-160,-180,,36.093131809639104
ala-ala,-160,-20,,47.01645876269542
ala-ala,-160,-40,,41.743449236789075
ala-ala,-160,-60,,43.259583305876525
ala-ala,-160,-80,,34.63909792730915
ala-ala,-160,0,,35.241734953626434
ala-ala,-160,100,,34.283507279365836
ala-ala,-160,120,,37.1884583390042
ala-ala,-160,140,,34.593072251749476
ala-ala,-160,160,,43.702871988746644
ala-ala,-160,180,,40.68209074618596
ala-ala,-160,20,,36.05427327708226
ala-ala,-160,40,,36.93182347688335
ala-ala,-160,60,,46.13453754163575
ala-ala,-160,80,,38.27022830847148
ala-ala,-180,-100,,55.342613587283566
ala-ala,-180,-120,,53.519621311358904
ala-ala,-180,-140,,48.70520729230502
ala-ala,-180,-160,,57.87938973034987
ala-ala,-180,-180,,51.63482233322136
ala-ala,-180,-20,,47.02761303125636
ala-ala,-180,-40,,53.476519177115364
ala-ala,-180,-60,,56.55829740257741
ala-ala,-180,-80,,51.75735023576537
ala-ala,-180,0,,54.41892885252878
ala-ala,-180,100,,53.99714903237434
ala-ala,-180,120,,55.296545453734055
ala-ala,-180,140,,51.52108863232135
ala-ala,-180,160,,56.74881897643997
ala-ala,-180,180,,52.4182649907144
ala-ala,-180,20,,53.85175698801079
ala-ala,-180,40,,52.1364772093964
ala-ala,-180,60,,58.136945846052434
ala-ala,-180,80,,48.11644090323996
ala-ala,-20,-100,,33.099673508091
ala-ala,-20,-120,,37.57509580012617
ala-ala,-20,-140,,36.94811980764926
ala-ala,-20,-160,,53.65165049638061
ala-ala,-20,-180,,43.467370596524674
ala-ala,-20,-20,,32.59943161166009
ala-ala,-20,-40,,45.39063745695128
ala-ala,-20,-60,,53.152557410863146
ala-ala,-20,-80,,38.936648591921184
ala-ala,-20,0,,28.676043549045588
ala-ala,-20,100,,37.084595745227716
ala-ala,-20,120,,34.07979110881191
ala-ala,-20,140,,39.391207916545625
ala-ala,-20,160,,53.55941736138562
ala-ala,-20,180,,43.73917303711115
ala-ala,-20,20,,37.243889846534735
ala-ala,-20,40,,44.81774020199027
ala-ala,-20,60,,53.41990693112813
ala-ala,-20,80,,35.776737980698904
ala-ala,-40,-100,,35.31363872227303
ala-ala,-40,-120,,29.88952992228211
ala-ala,-40,-140,,39.23908828648853
ala-ala,-40,-160,,47.20378104056658
ala-ala,-40,-180,,37.59848720735782
ala-ala,-40,-20,,34.84394703164576
ala-ala,-40,-40,,43.136755620831664
ala-ala,-40,-60,,44.907088405662996
ala-ala,-40,-80,,35.15444165048045
ala-ala,-40,0,,33.26689311727537
ala-ala,-40,100,,30.06774745718134
ala-ala,-40,120,,35.42652723031835
ala-ala,-40,140,,35.32349720075318
ala-ala,-40,160,,45.32186238168134
ala-ala,-40,180,,42.11018190505091
ala-ala,-40,20,,35.245176830673984
ala-ala,-40,40,,38.51305649926064
ala-ala,-40,60,,47.54803796118553
ala-ala,-40,80,,39.015632815974115
ala-ala,-60,-100,,46.28260156520004
ala-ala,-60,-120,,51.0677536825477
ala-ala,-60,-140,,43.15736874112001
ala-ala,-60,-160,,52.025836306671394
ala-ala,-60,-180,,43.40421981088319
ala-ala,-60,-20,,49.544554734930614
ala-ala,-60,-40,,48.080807942027675
ala-ala,-60,-60,,49.65795378054474
ala-ala,-60,-80,,42.98596023561923
ala-ala,-60,0,,44.98653169891658
ala-ala,-60,100,,48.759744721515844
ala-ala,-60,120,,46.276555120203
ala-ala,-60,140,,42.7916468192265
ala-ala,-60,160,,50.043163996973334
ala-ala,-60,180,,46.993635569490124
ala-ala,-60,20,,44.950905642248344
ala-ala,-60,40,,44.06007839651108
ala-ala,-60,60,,52.4089328835399
ala-ala,-60,80,,42.737048537703885
ala-ala,-80,-100,,51.91060692951646
ala-ala,-80,-120,,43.52788869277166
ala-ala,-80,-140,,42.20810860479024
ala-ala,-80,-160,,52.02820550172793
ala-ala,-80,-180,,47.83755081937319
ala-ala,-80,-20,,40.798072439514684
ala-ala,-80,-40,,45.68635146335231
ala-ala,-80,-60,,51.99938569374476
ala-ala,-80,-80,,48.34427814961256
ala-ala,-80,0,,49.656507352598325
ala-ala,-80,100,,44.48957484534402
ala-ala,-80,120,,51.94800697920465
ala-ala,-80,140,,48.04859478209817
ala-ala,-80,160,,52.025009633317254
ala-ala,-80,180,,44.543548210899786
ala-ala,-80,20,,50.66397059339098
ala-ala,-80,40,,48.262654046436616
ala-ala,-80,60,,51.989383065790804
ala-ala,-80,80,,42.098744717042806
ala-ala,0,-100,,54.87600096703612
ala-ala,0,-120,,190.15919836081815
ala-ala,0,-140,,90.28885857314637
ala-ala,0,-160,,64.40106809635988
ala-ala,0,-180,,149.29182821836594
ala-ala,0,-20,,1388.5941823083992
ala-ala,0,-40,,58.15470950598406
ala-ala,0,-60,,87.0357483489315
ala-ala,0,-80,,119.20617399490372
ala-ala,0,0,,58.265358056755574
ala-ala,0,100,,140.13088735235925
ala-ala,0,120,,55.710766936288024
ala-ala,0,140,,130.3438449954271
ala-ala,0,160,,80.71837694956864
ala-ala,0,180,,58.948424923801795
ala-ala,0,20,,69.93129795250339
ala-ala,0,40,,142.22343712082332
ala-ala,0,60,,63.16627642432502
ala-ala,0,80,,107.702901259742
ala-ala,100,-100,,47.74728355056439
ala-ala,100,-120,,583.9517631640958
ala-ala,100,-140,,47.328602389086875
ala-ala,100,-160,,69.36255695499088
ala-ala,100,-180,,87.35548358641968
ala-ala,100,-20,,91.89212767721949
ala-ala,100,-40,,52.13687224168987
ala-ala,100,-60,,95.32169673515241
ala-ala,100,-80,,58.938233386552724
ala-ala,100,0,,65.23896936634584
ala-ala,100,100,,593.0995370423673
ala-ala,100,120,,47.38495870844249
ala-ala,100,140,,62.37073908853692
ala-ala,100,160,,90.71257356228405
ala-ala,100,180,,50.37406262853678
ala-ala,100,20,,48.79348016653248
ala-ala,100,40,,92.5725001909129
ala-ala,100,60,,66.57800436523809
ala-ala,100,80,,48.4172913991829
ala-ala,120,-100,,50.73937975815703
ala-ala,120,-120,,46.8075957000233
ala-ala,120,-140,,93.3766858751834
ala-ala,120,-160,,49.82396060053274
ala-ala,120,-180,,57.2541508514492
ala-ala,120,-20,,97.13271889011753
ala-ala,120,-40,,48.60465430024946
ala-ala,120,-60,,51.11834712055844
ala-ala,120,-80,,70.0203959873935
ala-ala,120,0,,43.9526937447163
ala-ala,120,100,,44.087038528818354
ala-ala,120,120,,52.1731384385333
ala-ala,120,140,,68.636811010348
ala-ala,120,160,,50.58218681756286
ala-ala,120,180,,49.34712194388568
ala-ala,120,20,,64.2188173776709
ala-ala,120,40,,55.44671343266947
ala-ala,120,60,,49.98626972486251
ala-ala,120,80,,127.59357063975915
ala-ala,140,-100,,52.66000872847249
ala-ala,140,-120,,44.99725236682854
ala-ala,140,-140,,43.52734517886874
ala-ala,140,-160,,53.15379266391251
ala-ala,140,-180,,48.63812690236886
ala-ala,140,-20,,41.724360012527896
ala-ala,140,-40,,47.304092565172894
ala-ala,140,-60,,52.91443114166594
ala-ala,140,-80,,49.04686340842724
ala-ala,140,0,,50.69762837469928
ala-ala,140,100,,45.97349223489377
ala-ala,140,120,,52.6736188707281
ala-ala,140,140,,48.76639178845339
ala-ala,140,160,,52.96296186344358
ala-ala,140,180,,46.20089290857463
ala-ala,140,20,,51.31612964900522
ala-ala,140,40,,49.075771501970976
ala-ala,140,60,,53.170204290808165
ala-ala,140,80,,43.26660824512126
ala-ala,160,-100,,43.90569076390503
ala-ala,160,-120,,48.02977626762353
ala-ala,160,-140,,41.367567197932516
ala-ala,160,-160,,50.130250478504294
ala-ala,160,-180,,41.236554862670545
ala-ala,160,-20,,49.442313412676015
ala-ala,160,-40,,46.180075123934245
ala-ala,160,-60,,47.691635517207644
ala-ala,160,-80,,40.677002352027735
ala-ala,160,0,,42.47380214968063
ala-ala,160,100,,45.65925137264439
ala-ala,160,120,,43.90551315277571
ala-ala,160,140,,40.50035305125044
ala-ala,160,160,,48.09486252759818
ala-ala,160,180,,45.09054615469574
ala-ala,160,20,,42.598798110747296
ala-ala,160,40,,41.92598834110346
ala-ala,160,60,,50.514410727820305
ala-ala,160,80,,41.04111764081111
ala-ala,180,-100,,35.090951876658465
ala-ala,180,-120,,29.652690022577048
ala-ala,180,-140,,39.12888470734701
ala-ala,180,-160,,47.501173907139616
ala-ala,180,-180,,37.91682771819505
ala-ala,180,-20,,33.692934077253824
ala-ala,180,-40,,43.387303742472405
ala-ala,180,-60,,45.219803566267224
ala-ala,180,-80,,35.39864592228963
ala-ala,180,0,,33.040511386453545
ala-ala,180,100,,29.894510558805013
ala-ala,180,120,,35.23307619793047
ala-ala,180,140,,35.58760043976953
ala-ala,180,160,,45.63366215494966
ala-ala,180,180,,42.340328399472426
ala-ala,180,20,,35.288758277031526
ala-ala,180,40,,38.83648666988662
ala-ala,180,60,,47.8408466809412
ala-ala,180,80,,38.729965819186944
ala-ala,20,-100,,45.94826915685381
ala-ala,20,-120,,35.14479509232323
ala-ala,20,-140,,32.986816073340094
